candidate_policy,reference_policy,candidate_budget,reference_budget,delta_policy_value,delta_policy_value_ci_low,delta_policy_value_ci_high,policy_value_bootstrap_fraction_positive,policy_value_conclusion,delta_incremental_per_1000_targeted,delta_incremental_per_1000_ci_low,delta_incremental_per_1000_ci_high,incremental_bootstrap_fraction_positive,incremental_conclusion,delta_hajek_policy_value,delta_hajek_policy_value_ci_low,delta_hajek_policy_value_ci_high,hajek_policy_value_conclusion,delta_hajek_incremental_per_1000_targeted,delta_hajek_incremental_per_1000_ci_low,delta_hajek_incremental_per_1000_ci_high,hajek_incremental_conclusion,valid_policy_value_bootstrap_reps,valid_incremental_bootstrap_reps,valid_hajek_policy_value_bootstrap_reps,valid_hajek_incremental_bootstrap_reps
s_learner,expected_random,0.6,0.6,0.00012754006825066487,-5.697152049301424e-05,0.00030348232777351535,0.911,inconclusive,0.21256678041777488,-0.0948129323662033,0.5065906201454394,0.911,inconclusive,0.0001420151520834332,-4.3005729767339385e-05,0.00031942551306788334,inconclusive,0.2357083537332738,-0.06601364594550439,0.5238864713781737,inconclusive,1000,1000,1000,1000
s_learner,expected_random,0.8,0.8,-6.2054924693487334e-06,-0.00017331617527954272,0.00016904780727478667,0.476,inconclusive,-0.007756865586685979,-0.21690074456235214,0.21198733637959646,0.475,inconclusive,8.228940917674819e-06,-0.00015934837147252556,0.00018428008699176307,inconclusive,0.005094629719433863,-0.20143728702862934,0.2248594701586463,inconclusive,1000,1000,1000,1000
s_learner,expected_random,1.0,1.0,9.107298248878237e-18,-8.673617379884035e-19,1.3010426069826053e-18,0.379,inconclusive,9.103828801926284e-15,-9.992007221626409e-16,1.1102230246251565e-15,0.437,inconclusive,0.0,-4.336808689942018e-19,4.336808689942018e-19,inconclusive,4.440892098500626e-16,0.0,0.0,inconclusive,1000,1000,1000,1000
s_learner,treat_all,0.01,1.0,-0.0006809230556917688,-0.0009583601476727292,-0.0004088521643169428,0.0,worse,39.383533750848166,9.8645125987048,67.0763479441314,0.996,beats,-0.0006842013126428107,-0.0009619108241695175,-0.00041319197701930675,worse,21.925298911129108,-9.784755475743776,49.58512393132462,inconclusive,1000,1000,1000,1000
s_learner,treat_all,0.02,1.0,-0.0004973722354668325,-0.0007466280274543556,-0.0002542960346207054,0.0,worse,28.32650061737785,12.878577127138975,43.08322931880343,1.0,beats,-0.0005035635451276317,-0.0007520999932133406,-0.00026149105996157453,worse,19.830164880647963,3.714203833199559,35.24464038428831,beats,1000,1000,1000,1000
s_learner,treat_all,0.1,1.0,-0.0003402225891254041,-0.000555724531761025,-0.00011207519922646099,0.004,worse,6.368304956020966,3.442664826160039,9.264060950587815,1.0,beats,-0.0003449796598431398,-0.0005601116029002704,-0.00011879899433368142,worse,6.105912753120513,3.0478650245107435,8.93615109276993,beats,1000,1000,1000,1000
s_learner,treat_all,0.11,1.0,-0.0003402225891254041,-0.000555724531761025,-0.00011207519922646099,0.004,worse,5.690675911056686,3.062733191227867,8.288091955537332,1.0,beats,-0.0003434138493085344,-0.0005578522411697074,-0.00011734469802546446,worse,5.54592031626789,2.80930484540093,8.083457285542908,beats,1000,1000,1000,1000
s_learner,treat_all,0.12,1.0,-0.0003402225891254041,-0.000555724531761025,-0.00011207519922646099,0.004,worse,5.125985040253119,2.7411955393276632,7.486467326244092,1.0,beats,-0.0003421145236331409,-0.000557059493161942,-0.00011576293930880307,worse,5.054131623982057,2.5685076261006716,7.330157328640958,beats,1000,1000,1000,1000
s_learner,treat_all,0.2,1.0,-0.0003215657817798234,-0.0005366081330116501,-0.00010485048185399979,0.004,worse,2.7346292454453307,1.4013702506748842,4.026333195359249,1.0,beats,-0.00032569205415019543,-0.0005382929731378878,-0.00011118686094189642,worse,2.6777563910694426,1.2680145498251616,3.9859040679369726,beats,1000,1000,1000,1000
s_learner,treat_all,0.4,1.0,-0.0003126648431260831,-0.0005148488037701647,-9.455290228117337e-05,0.001,worse,0.8467597000639608,0.2800107938401418,1.3772100253340742,0.999,beats,-0.00031075343364795607,-0.0005177971884410639,-9.611714088434827e-05,worse,0.8534928648531128,0.2898507502418324,1.3855665383541327,beats,1000,1000,1000,1000
